league_id,team_id,team_name
0,1610612737,ATL
0,1610612738,BOS
0,1610612739,CLE
0,1610612740,NOP
0,1610612741,CHI
0,1610612742,DAL
0,1610612743,DEN
0,1610612744,GSW
0,1610612745,HOU
0,1610612746,LAC
0,1610612747,LAL
0,1610612748,MIA
0,1610612749,MIL
0,1610612750,MIN
0,1610612751,BKN
0,1610612752,NYK
0,1610612753,ORL
0,1610612754,IND
0,1610612755,PHI
0,1610612756,PHX
0,1610612757,POR
0,1610612758,SAC
0,1610612759,SAS
0,1610612760,OKC
0,1610612761,TOR
0,1610612762,UTA
0,1610612763,MEM
0,1610612764,WAS
0,1610612765,DET
0,1610612766,CHA
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
